a1,L1 HR,L2 HR,L3 HR
1,89.26,72.95,27.64,100.0
2,93.42,55.43,27.81,100.0
3,94.95,41.86,27.75,100.0
4,95.76,30.8,27.65,100.0
5,96.24,21.85,27.67,100.0
6,96.58,14.06,27.72,100.0
7,96.71,10.45,27.75,100.0

a2,L1 HR,L2 HR,L3 HR
1,96.77,1.3,38.94,100.0
2,96.77,2.03,37.04,100.0
3,96.77,2.93,34.01,100.0
4,96.77,3.95,32.15,100.0
5,96.77,5.06,30.94,100.0
6,96.77,6.05,30.05,100.0
7,96.77,7.11,29.2,100.0

a3,L1 HR,L2 HR,L3 HR
1,96.77,8.86,25.95,100.0
2,96.77,8.86,27.73,100.0
3,96.77,8.86,27.78,100.0
4,96.77,8.86,27.78,100.0
5,96.77,8.86,27.78,100.0
6,96.77,8.86,27.78,100.0
7,96.77,8.86,27.78,100.0
8,96.77,8.86,27.78,100.0
9,96.77,8.86,27.78,100.0
10,96.77,8.86,27.78,100.0
11,96.77,8.86,27.78,100.0
12,96.77,8.86,27.78,100.0
13,96.77,8.86,27.78,100.0
14,96.77,8.86,27.78,100.0
15,96.77,8.86,27.78,100.0

bAll,L1 HR,L2 HR,L3 HR
32,93.61,8.57,31.07,100.0
64,96.77,8.86,27.78,100.0
128,98.3,21.71,13.9,100.0
256,99.11,28.68,0.29,100.0
512,99.57,14.59,0.09,100.0

c1,L1 HR,L2 HR,L3 HR
128,96.77,8.86,27.78,100.0
256,96.9,4.95,28.02,100.0
512,97.05,0.73,31.37,100.0
1024,97.51,0.12,21.45,100.0
2048,97.86,0.03,9.63,100.0
4096,97.87,0.0,9.49,100.0
8192,97.87,0.0,9.49,100.0
16384,97.87,0.0,9.49,100.0

c2,L1 HR,L2 HR,L3 HR
128,96.77,1.81,37.19,100.0
256,96.77,4.02,31.71,100.0
512,96.77,8.86,27.78,100.0
1024,96.77,23.05,14.37,100.0
2048,96.77,34.05,0.03,100.0
4096,96.77,34.07,0.0,100.0
8192,96.77,34.07,0.0,100.0
16384,96.77,34.07,0.0,100.0

c3,L1 HR,L2 HR,L3 HR
128,96.77,8.86,0.28,100.0
256,96.77,8.86,0.59,100.0
512,96.77,8.86,15.64,100.0
1024,96.77,8.86,27.77,100.0
2048,96.77,8.86,27.78,100.0
4096,96.77,8.86,27.78,100.0
8192,96.77,8.86,27.78,100.0
16384,96.77,8.86,27.78,100.0
